"V1","COW","SIPRI","COW2","cepii","ID"
"Israel",666,"Israel",666,"ISR",89
"Italy",325,"Italy",325,"ITA",90
"Jamaica",51,"Jamaica",51,"JAM",91
"Japan",740,"Japan",740,"JPN",92
"Jordan",663,"Jordan",663,"JOR",93
"Katanga",0,"Katanga",0,"0",94
"Kazakhstan",705,"Kazakhstan",705,"KAZ",95
"Kenya",501,"Kenya",501,"KEN",96
"Kiribati",946,"Kiribati",946,"KIR",97
"North Korea",731,"North Korea (DPRK)",731,"PRK",98
"South Korea",732,"South Korea (ROK)",732,"KOR",99
"Kosovo",347,"Kosovo",347,"0",100
"Kuwait",690,"Kuwait",690,"KWT",101
"Kyrgyzstan",703,"Kyrgyzstan",703,"KGZ",102
"Laos",812,"Laos",812,"LAO",103
"Latvia",367,"Latvia",367,"LVA",104
